cea_qloss_total [kW],simulink_qloss_total [kW],diff
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
10.290,9.559,0.077
10.295,9.560,0.077
10.298,9.563,0.077
10.298,9.563,0.077
10.295,9.562,0.077
10.298,9.564,0.077
10.301,9.565,0.077
10.304,9.568,0.077
10.305,9.569,0.077
10.304,9.568,0.077
10.307,9.569,0.077
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
10.277,9.554,0.076
10.277,9.553,0.076
10.281,9.554,0.076
10.281,9.554,0.076
10.281,9.553,0.076
10.281,9.554,0.076
10.282,9.554,0.076
10.286,9.556,0.076
10.286,9.556,0.076
10.286,9.556,0.076
10.286,9.556,0.076
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
10.281,9.554,0.076
10.282,9.554,0.076
10.286,9.556,0.076
10.286,9.556,0.076
10.285,9.556,0.076
10.286,9.556,0.076
10.287,9.557,0.076
10.293,9.559,0.077
10.295,9.560,0.077
10.293,9.559,0.077
10.295,9.560,0.077
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
10.282,9.555,0.076
10.285,9.556,0.076
10.287,9.558,0.076
10.287,9.558,0.076
10.286,9.556,0.076
10.290,9.558,0.077
10.292,9.559,0.077
10.295,9.561,0.077
10.295,9.561,0.077
10.295,9.561,0.077
10.295,9.561,0.077
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
10.286,9.556,0.076
10.286,9.557,0.076
10.293,9.559,0.077
10.293,9.560,0.077
10.290,9.559,0.077
10.295,9.561,0.077
10.295,9.561,0.077
10.298,9.563,0.077
10.298,9.564,0.077
10.298,9.563,0.077
10.301,9.564,0.077
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
10.286,9.557,0.076
10.289,9.558,0.077
10.294,9.560,0.077
10.293,9.559,0.077
10.289,9.558,0.076
10.295,9.560,0.077
10.295,9.560,0.077
10.297,9.562,0.077
10.297,9.563,0.077
10.297,9.562,0.077
10.298,9.563,0.077
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
2.020,1.870,0.080
2.108,1.954,0.079
2.201,2.041,0.078
2.274,2.110,0.078
2.345,2.176,0.078
2.414,2.239,0.078
2.478,2.300,0.077
11.418,10.614,0.076
11.115,10.334,0.076
10.649,9.901,0.076
10.438,9.705,0.076
10.499,9.762,0.076
10.367,9.638,0.076
10.277,9.553,0.076
10.278,9.553,0.076
10.281,9.553,0.076
10.278,9.553,0.076
10.278,9.553,0.076
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
10.769,10.013,0.076
10.527,9.787,0.076
10.277,9.554,0.076
10.277,9.554,0.076
10.320,9.595,0.076
10.277,9.553,0.076
10.277,9.553,0.076
10.278,9.553,0.076
10.279,9.553,0.076
10.278,9.554,0.076
10.278,9.553,0.076
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
10.655,9.905,0.076
10.396,9.665,0.076
10.277,9.554,0.076
10.277,9.554,0.076
10.277,9.553,0.076
10.278,9.553,0.076
10.281,9.553,0.076
10.282,9.554,0.076
10.282,9.555,0.076
10.281,9.554,0.076
10.282,9.554,0.076
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
10.277,9.553,0.076
10.277,9.553,0.076
10.280,9.553,0.076
10.281,9.553,0.076
10.278,9.553,0.076
10.281,9.554,0.076
10.281,9.554,0.076
10.285,9.556,0.076
10.286,9.556,0.076
10.285,9.555,0.076
10.285,9.556,0.076
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
10.277,9.554,0.076
10.277,9.553,0.076
10.280,9.553,0.076
10.281,9.553,0.076
10.278,9.553,0.076
10.281,9.553,0.076
10.281,9.554,0.076
10.284,9.555,0.076
10.285,9.555,0.076
10.283,9.555,0.076
10.285,9.555,0.076
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
3.371,3.133,0.076
3.370,3.130,0.077
3.387,3.147,0.076
3.406,3.164,0.076
3.424,3.180,0.077
3.447,3.201,0.077
3.467,3.221,0.076
12.038,11.191,0.076
11.719,10.896,0.076
11.281,10.488,0.076
11.115,10.334,0.076
11.207,10.418,0.076
11.066,10.290,0.075
10.805,10.045,0.076
10.384,9.655,0.076
10.276,9.554,0.076
10.453,9.718,0.076
10.407,9.676,0.076
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
5.490,2.656,1.067
10.896,10.130,0.076
10.569,9.828,0.075
10.277,9.553,0.076
10.277,9.553,0.076
10.277,9.553,0.076
10.277,9.553,0.076
10.280,9.553,0.076
10.281,9.554,0.076
10.282,9.554,0.076
10.281,9.554,0.076
10.281,9.554,0.076
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
10.277,9.553,0.076
10.278,9.553,0.076
10.281,9.554,0.076
10.281,9.554,0.076
10.281,9.554,0.076
10.281,9.554,0.076
10.285,9.555,0.076
10.286,9.557,0.076
10.289,9.558,0.077
10.286,9.557,0.076
10.287,9.557,0.076
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
10.281,9.554,0.076
10.284,9.555,0.076
10.286,9.557,0.076
10.286,9.557,0.076
10.286,9.556,0.076
10.289,9.558,0.077
10.290,9.559,0.076
10.295,9.561,0.077
10.295,9.562,0.077
10.295,9.561,0.077
10.295,9.562,0.077
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
10.286,9.557,0.076
10.289,9.558,0.077
10.294,9.560,0.077
10.294,9.560,0.077
10.290,9.559,0.077
10.295,9.560,0.077
10.295,9.561,0.077
10.298,9.564,0.077
10.301,9.564,0.077
10.301,9.564,0.077
10.301,9.565,0.077
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
0.000,0.000,0
